signal_name,p0_item,source_component,dashboard_panel,widget_key,refresh_cadence,staleness_threshold,alert_threshold,owner,kill_switch_name,rollback_action,enabled
provider_snapshot_import_candidate_simulated_next_worker,P0.5,provider_snapshot_import_candidate_simulator,Provider Sync,provider_snapshot.import_candidate.simulated_next_worker,on demand,24h,none,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_CANDIDATE_SIMULATOR,Disable provider snapshot import candidate simulator,true
vod_streams_delta_limited_apply_completed,P0.5,vod_streams_delta_limited_apply,Provider Sync,vod_streams.delta_limited_apply.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_STREAMS_DELTA_LIMITED_APPLY,Disable VOD streams limited apply,true
vod_streams_delta_limited_apply_disposition,P0.5,vod_streams_delta_limited_apply,Provider Sync,vod_streams.delta_limited_apply.disposition,on demand,24h,blocked_no_real_candidate|fail,Content Ops,ENABLE_VOD_STREAMS_DELTA_LIMITED_APPLY,Disable VOD streams limited apply,true
vod_streams_delta_limited_apply_would_write_count,P0.5,vod_streams_delta_limited_apply,Provider Sync,vod_streams.delta_limited_apply.would_write_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_STREAMS_DELTA_LIMITED_APPLY,Disable VOD streams limited apply,true
vod_streams_delta_limited_apply_actual_write_count,P0.5,vod_streams_delta_limited_apply,Provider Sync,vod_streams.delta_limited_apply.actual_write_count,on demand,24h,>0 unexpected unless Apply mode approved,Content Ops,ENABLE_VOD_STREAMS_DELTA_LIMITED_APPLY,Disable VOD streams limited apply,true
provider_snapshot_import_decision_gate_completed,P0.5,provider_snapshot_import_decision_gate,Provider Sync,provider_snapshot.import_decision_gate.completed,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_DECISION_GATE,Disable provider snapshot import decision gate,true
provider_snapshot_import_decision_gate_disposition,P0.5,provider_snapshot_import_decision_gate,Provider Sync,provider_snapshot.import_decision_gate.disposition,on demand,24h,fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_DECISION_GATE,Disable provider snapshot import decision gate,true
provider_snapshot_import_decision_gate_selected_lane,P0.5,provider_snapshot_import_decision_gate,Provider Sync,provider_snapshot.import_decision_gate.selected_lane,on demand,24h,none,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_DECISION_GATE,Disable provider snapshot import decision gate,true
provider_snapshot_import_decision_gate_db_write_count,P0.5,provider_snapshot_import_decision_gate,Provider Sync,provider_snapshot.import_decision_gate.db_write_count,on demand,24h,>0 unexpected unless Apply mode approved,Content Ops,ENABLE_PROVIDER_SNAPSHOT_IMPORT_DECISION_GATE,Disable provider snapshot import decision gate,true
provider_snapshot_governed_import_runner_completed,P0.5,provider_snapshot_governed_import_runner,Provider Sync,provider_snapshot.governed_import_runner.completed,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_GOVERNED_IMPORT_RUNNER,Disable provider snapshot governed import runner,true
provider_snapshot_governed_import_runner_disposition,P0.5,provider_snapshot_governed_import_runner,Provider Sync,provider_snapshot.governed_import_runner.disposition,on demand,24h,fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_GOVERNED_IMPORT_RUNNER,Disable provider snapshot governed import runner,true
provider_snapshot_governed_import_runner_selected_lane,P0.5,provider_snapshot_governed_import_runner,Provider Sync,provider_snapshot.governed_import_runner.selected_lane,on demand,24h,none,Content Ops,ENABLE_PROVIDER_SNAPSHOT_GOVERNED_IMPORT_RUNNER,Disable provider snapshot governed import runner,true
provider_snapshot_governed_import_runner_db_write_count,P0.5,provider_snapshot_governed_import_runner,Provider Sync,provider_snapshot.governed_import_runner.db_write_count,on demand,24h,>0 unexpected unless Apply mode approved,Content Ops,ENABLE_PROVIDER_SNAPSHOT_GOVERNED_IMPORT_RUNNER,Disable provider snapshot governed import runner,true
vod_streams_apply_mapping_fixture_test_completed,P0.5,vod_streams_apply_mapping_fixture,Provider Sync,vod_streams.apply_mapping_fixture.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_STREAMS_APPLY_MAPPING_FIXTURE_TEST,Disable VOD streams apply mapping fixture test,true
vod_streams_apply_mapping_fixture_test_disposition,P0.5,vod_streams_apply_mapping_fixture,Provider Sync,vod_streams.apply_mapping_fixture.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_STREAMS_APPLY_MAPPING_FIXTURE_TEST,Disable VOD streams apply mapping fixture test,true
vod_streams_apply_mapping_fixture_test_mapped_count,P0.5,vod_streams_apply_mapping_fixture,Provider Sync,vod_streams.apply_mapping_fixture.mapped_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_STREAMS_APPLY_MAPPING_FIXTURE_TEST,Disable VOD streams apply mapping fixture test,true
vod_streams_apply_mapping_fixture_test_rejected_count,P0.5,vod_streams_apply_mapping_fixture,Provider Sync,vod_streams.apply_mapping_fixture.rejected_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_STREAMS_APPLY_MAPPING_FIXTURE_TEST,Disable VOD streams apply mapping fixture test,true
vod_apply_db_target_inventory_completed,P0.5,vod_apply_db_target_inventory,Provider Sync,vod.apply_db_target_inventory.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_APPLY_DB_TARGET_INVENTORY,Disable VOD apply DB target inventory,true
vod_apply_db_target_inventory_candidate_count,P0.5,vod_apply_db_target_inventory,Provider Sync,vod.apply_db_target_inventory.candidate_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_APPLY_DB_TARGET_INVENTORY,Disable VOD apply DB target inventory,true
vod_apply_db_target_inventory_high_confidence_count,P0.5,vod_apply_db_target_inventory,Provider Sync,vod.apply_db_target_inventory.high_confidence_count,on demand,24h,0,Content Ops,ENABLE_VOD_APPLY_DB_TARGET_INVENTORY,Disable VOD apply DB target inventory,true
vod_apply_db_target_inventory_review_count,P0.5,vod_apply_db_target_inventory,Provider Sync,vod.apply_db_target_inventory.review_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_APPLY_DB_TARGET_INVENTORY,Disable VOD apply DB target inventory,true
vod_apply_db_target_selector_completed,P0.5,vod_apply_db_target_selector,Provider Sync,vod.apply_db_target_selector.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_APPLY_DB_TARGET_SELECTOR,Disable VOD apply DB target selector,true
vod_apply_db_target_selector_selected_type,P0.5,vod_apply_db_target_selector,Provider Sync,vod.apply_db_target_selector.selected_type,on demand,24h,none,Content Ops,ENABLE_VOD_APPLY_DB_TARGET_SELECTOR,Disable VOD apply DB target selector,true
vod_apply_db_target_selector_confidence,P0.5,vod_apply_db_target_selector,Provider Sync,vod.apply_db_target_selector.confidence,on demand,24h,none,Content Ops,ENABLE_VOD_APPLY_DB_TARGET_SELECTOR,Disable VOD apply DB target selector,true
vod_apply_db_target_selector_review_required,P0.5,vod_apply_db_target_selector,Provider Sync,vod.apply_db_target_selector.review_required,on demand,24h,true,Content Ops,ENABLE_VOD_APPLY_DB_TARGET_SELECTOR,Disable VOD apply DB target selector,true
vod_streams_apply_sql_contract_planned_completed,P0.5,vod_streams_apply_sql_contract,Provider Sync,vod_streams.apply_sql_contract.planned,on demand,24h,status=fail,Content Ops,ENABLE_VOD_STREAMS_APPLY_SQL_CONTRACT_PLANNER,Disable VOD streams apply SQL contract planner,true
vod_streams_apply_sql_contract_target_type,P0.5,vod_streams_apply_sql_contract,Provider Sync,vod_streams.apply_sql_contract.target_type,on demand,24h,unknown,Content Ops,ENABLE_VOD_STREAMS_APPLY_SQL_CONTRACT_PLANNER,Disable VOD streams apply SQL contract planner,true
vod_streams_apply_sql_contract_parameter_count,P0.5,vod_streams_apply_sql_contract,Provider Sync,vod_streams.apply_sql_contract.parameter_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_STREAMS_APPLY_SQL_CONTRACT_PLANNER,Disable VOD streams apply SQL contract planner,true
vod_streams_apply_sql_contract_apply_mode,P0.5,vod_streams_apply_sql_contract,Provider Sync,vod_streams.apply_sql_contract.apply_mode,on demand,24h,fail,Content Ops,ENABLE_VOD_STREAMS_APPLY_SQL_CONTRACT_PLANNER,Disable VOD streams apply SQL contract planner,true
vod_streams_sql_parameter_binding_fixture_completed,P0.5,vod_streams_sql_parameter_binding_fixture,Provider Sync,vod_streams.sql_parameter_binding_fixture.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_STREAMS_SQL_PARAMETER_BINDING_FIXTURE_TEST,Disable VOD streams SQL parameter binding fixture test,true
vod_streams_sql_parameter_binding_fixture_disposition,P0.5,vod_streams_sql_parameter_binding_fixture,Provider Sync,vod_streams.sql_parameter_binding_fixture.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_STREAMS_SQL_PARAMETER_BINDING_FIXTURE_TEST,Disable VOD streams SQL parameter binding fixture test,true
vod_streams_sql_parameter_binding_fixture_bindable_count,P0.5,vod_streams_sql_parameter_binding_fixture,Provider Sync,vod_streams.sql_parameter_binding_fixture.bindable_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_STREAMS_SQL_PARAMETER_BINDING_FIXTURE_TEST,Disable VOD streams SQL parameter binding fixture test,true
vod_streams_sql_parameter_binding_fixture_rejected_count,P0.5,vod_streams_sql_parameter_binding_fixture,Provider Sync,vod_streams.sql_parameter_binding_fixture.rejected_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_STREAMS_SQL_PARAMETER_BINDING_FIXTURE_TEST,Disable VOD streams SQL parameter binding fixture test,true
vod_apply_adapter_selection_planned_completed,P0.5,vod_apply_adapter_selection,Provider Sync,vod.apply_adapter_selection.planned,on demand,24h,status=fail,Content Ops,ENABLE_VOD_APPLY_ADAPTER_SELECTION_PLANNER,Disable VOD apply adapter selection planner,true
vod_apply_adapter_selection_selected_adapter,P0.5,vod_apply_adapter_selection,Provider Sync,vod.apply_adapter_selection.selected_adapter,on demand,24h,none,Content Ops,ENABLE_VOD_APPLY_ADAPTER_SELECTION_PLANNER,Disable VOD apply adapter selection planner,true
vod_apply_adapter_selection_readiness,P0.5,vod_apply_adapter_selection,Provider Sync,vod.apply_adapter_selection.readiness,on demand,24h,fail,Content Ops,ENABLE_VOD_APPLY_ADAPTER_SELECTION_PLANNER,Disable VOD apply adapter selection planner,true
vod_apply_adapter_selection_review_required,P0.5,vod_apply_adapter_selection,Provider Sync,vod.apply_adapter_selection.review_required,on demand,24h,true,Content Ops,ENABLE_VOD_APPLY_ADAPTER_SELECTION_PLANNER,Disable VOD apply adapter selection planner,true
vod_apply_db_schema_contract_test_completed,P0.5,vod_apply_db_schema_contract,Provider Sync,vod.apply_db_schema_contract.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_APPLY_DB_SCHEMA_CONTRACT_TEST,Disable VOD apply DB schema contract test,true
vod_apply_db_schema_contract_test_disposition,P0.5,vod_apply_db_schema_contract,Provider Sync,vod.apply_db_schema_contract.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_APPLY_DB_SCHEMA_CONTRACT_TEST,Disable VOD apply DB schema contract test,true
vod_apply_db_schema_contract_required_column_count,P0.5,vod_apply_db_schema_contract,Provider Sync,vod.apply_db_schema_contract.required_column_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_APPLY_DB_SCHEMA_CONTRACT_TEST,Disable VOD apply DB schema contract test,true
vod_apply_db_schema_contract_readiness,P0.5,vod_apply_db_schema_contract,Provider Sync,vod.apply_db_schema_contract.readiness,on demand,24h,fail,Content Ops,ENABLE_VOD_APPLY_DB_SCHEMA_CONTRACT_TEST,Disable VOD apply DB schema contract test,true
powershell_db_connection_path_inventory_completed,P0.5,powershell_db_connection_path_inventory,Provider Sync,powershell.db_connection_path_inventory.completed,on demand,24h,status=fail,Content Ops,ENABLE_POWERSHELL_DB_CONNECTION_PATH_INVENTORY,Disable PowerShell DB connection path inventory,true
powershell_db_connection_path_inventory_candidate_count,P0.5,powershell_db_connection_path_inventory,Provider Sync,powershell.db_connection_path_inventory.candidate_count,on demand,24h,n/a,Content Ops,ENABLE_POWERSHELL_DB_CONNECTION_PATH_INVENTORY,Disable PowerShell DB connection path inventory,true
powershell_db_connection_path_inventory_high_confidence_count,P0.5,powershell_db_connection_path_inventory,Provider Sync,powershell.db_connection_path_inventory.high_confidence_count,on demand,24h,0,Content Ops,ENABLE_POWERSHELL_DB_CONNECTION_PATH_INVENTORY,Disable PowerShell DB connection path inventory,true
powershell_db_connection_path_inventory_selected_hint,P0.5,powershell_db_connection_path_inventory,Provider Sync,powershell.db_connection_path_inventory.selected_hint,on demand,24h,manual_review,Content Ops,ENABLE_POWERSHELL_DB_CONNECTION_PATH_INVENTORY,Disable PowerShell DB connection path inventory,true
vod_powershell_db_adapter_contract_planned_completed,P0.5,vod_powershell_db_adapter_contract,Provider Sync,vod.powershell_db_adapter_contract.planned,on demand,24h,status=fail,Content Ops,ENABLE_VOD_POWERSHELL_DB_ADAPTER_CONTRACT_PLANNER,Disable VOD PowerShell DB adapter contract planner,true
vod_powershell_db_adapter_contract_adapter_name,P0.5,vod_powershell_db_adapter_contract,Provider Sync,vod.powershell_db_adapter_contract.adapter_name,on demand,24h,none,Content Ops,ENABLE_VOD_POWERSHELL_DB_ADAPTER_CONTRACT_PLANNER,Disable VOD PowerShell DB adapter contract planner,true
vod_powershell_db_adapter_contract_readiness,P0.5,vod_powershell_db_adapter_contract,Provider Sync,vod.powershell_db_adapter_contract.readiness,on demand,24h,fail,Content Ops,ENABLE_VOD_POWERSHELL_DB_ADAPTER_CONTRACT_PLANNER,Disable VOD PowerShell DB adapter contract planner,true
vod_powershell_db_adapter_contract_db_write_allowed,P0.5,vod_powershell_db_adapter_contract,Provider Sync,vod.powershell_db_adapter_contract.db_write_allowed,on demand,24h,false,Content Ops,ENABLE_VOD_POWERSHELL_DB_ADAPTER_CONTRACT_PLANNER,Disable VOD PowerShell DB adapter contract planner,true
mira_db_safe_adapter_fixture_test_completed,P0.5,mira_db_safe_adapter_fixture,Provider Sync,mira_db_safe_adapter.fixture.completed,on demand,24h,status=fail,Content Ops,ENABLE_MIRA_DB_SAFE_ADAPTER_FIXTURE_TEST,Disable Mira DB safe adapter fixture test,true
mira_db_safe_adapter_fixture_test_disposition,P0.5,mira_db_safe_adapter_fixture,Provider Sync,mira_db_safe_adapter.fixture.disposition,on demand,24h,fail,Content Ops,ENABLE_MIRA_DB_SAFE_ADAPTER_FIXTURE_TEST,Disable Mira DB safe adapter fixture test,true
mira_db_safe_adapter_fixture_test_pass_count,P0.5,mira_db_safe_adapter_fixture,Provider Sync,mira_db_safe_adapter.fixture.pass_count,on demand,24h,n/a,Content Ops,ENABLE_MIRA_DB_SAFE_ADAPTER_FIXTURE_TEST,Disable Mira DB safe adapter fixture test,true
mira_db_safe_adapter_fixture_test_blocked_count,P0.5,mira_db_safe_adapter_fixture,Provider Sync,mira_db_safe_adapter.fixture.blocked_count,on demand,24h,n/a,Content Ops,ENABLE_MIRA_DB_SAFE_ADAPTER_FIXTURE_TEST,Disable Mira DB safe adapter fixture test,true
vod_apply_safe_adapter_integration_fixture_completed,P0.5,vod_apply_safe_adapter_integration_fixture,Provider Sync,vod_apply.safe_adapter_integration_fixture.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_APPLY_SAFE_ADAPTER_INTEGRATION_FIXTURE_TEST,Disable VOD apply safe adapter integration fixture test,true
vod_apply_safe_adapter_integration_fixture_disposition,P0.5,vod_apply_safe_adapter_integration_fixture,Provider Sync,vod_apply.safe_adapter_integration_fixture.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_APPLY_SAFE_ADAPTER_INTEGRATION_FIXTURE_TEST,Disable VOD apply safe adapter integration fixture test,true
vod_apply_safe_adapter_integration_fixture_dry_run_count,P0.5,vod_apply_safe_adapter_integration_fixture,Provider Sync,vod_apply.safe_adapter_integration_fixture.dry_run_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_APPLY_SAFE_ADAPTER_INTEGRATION_FIXTURE_TEST,Disable VOD apply safe adapter integration fixture test,true
vod_apply_safe_adapter_integration_fixture_rejected_count,P0.5,vod_apply_safe_adapter_integration_fixture,Provider Sync,vod_apply.safe_adapter_integration_fixture.rejected_count,on demand,24h,n/a,Content Ops,ENABLE_VOD_APPLY_SAFE_ADAPTER_INTEGRATION_FIXTURE_TEST,Disable VOD apply safe adapter integration fixture test,true
vod_limited_apply_promotion_readiness_completed,P0.5,vod_limited_apply_promotion_readiness,Provider Sync,vod_limited_apply.promotion_readiness.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_LIMITED_APPLY_PROMOTION_READINESS_PLANNER,Disable VOD limited apply promotion readiness planner,true
vod_limited_apply_promotion_readiness_disposition,P0.5,vod_limited_apply_promotion_readiness,Provider Sync,vod_limited_apply.promotion_readiness.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_LIMITED_APPLY_PROMOTION_READINESS_PLANNER,Disable VOD limited apply promotion readiness planner,true
vod_limited_apply_promotion_readiness_apply_ready,P0.5,vod_limited_apply_promotion_readiness,Provider Sync,vod_limited_apply.promotion_readiness.apply_ready,on demand,24h,false,Content Ops,ENABLE_VOD_LIMITED_APPLY_PROMOTION_READINESS_PLANNER,Disable VOD limited apply promotion readiness planner,true
vod_limited_apply_promotion_readiness_blocker_count,P0.5,vod_limited_apply_promotion_readiness,Provider Sync,vod_limited_apply.promotion_readiness.blocker_count,on demand,24h,>0,Content Ops,ENABLE_VOD_LIMITED_APPLY_PROMOTION_READINESS_PLANNER,Disable VOD limited apply promotion readiness planner,true
vod_schema_validation_execution_gate_planned_completed,P0.5,vod_schema_validation_execution_gate,Provider Sync,vod_schema_validation.execution_gate.planned,on demand,24h,status=fail,Content Ops,ENABLE_VOD_SCHEMA_VALIDATION_EXECUTION_GATE_PLANNER,Disable VOD schema validation execution gate planner,true
vod_schema_validation_execution_gate_disposition,P0.5,vod_schema_validation_execution_gate,Provider Sync,vod_schema_validation.execution_gate.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_SCHEMA_VALIDATION_EXECUTION_GATE_PLANNER,Disable VOD schema validation execution gate planner,true
vod_schema_validation_execution_gate_db_read_allowed,P0.5,vod_schema_validation_execution_gate,Provider Sync,vod_schema_validation.execution_gate.db_read_allowed,on demand,24h,false,Content Ops,ENABLE_VOD_SCHEMA_VALIDATION_EXECUTION_GATE_PLANNER,Disable VOD schema validation execution gate planner,true
vod_schema_validation_execution_gate_db_write_allowed,P0.5,vod_schema_validation_execution_gate,Provider Sync,vod_schema_validation.execution_gate.db_write_allowed,on demand,24h,false,Content Ops,ENABLE_VOD_SCHEMA_VALIDATION_EXECUTION_GATE_PLANNER,Disable VOD schema validation execution gate planner,true
vod_apply_db_schema_live_read_completed,P0.5,vod_apply_db_schema_live_read,Provider Sync,vod_apply_db_schema.live_read.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_APPLY_DB_SCHEMA_LIVE_READ_TEST,Disable VOD apply DB schema live-read test,true
vod_apply_db_schema_live_read_disposition,P0.5,vod_apply_db_schema_live_read,Provider Sync,vod_apply_db_schema.live_read.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_APPLY_DB_SCHEMA_LIVE_READ_TEST,Disable VOD apply DB schema live-read test,true
vod_apply_db_schema_live_read_db_read_count,P0.5,vod_apply_db_schema_live_read,Provider Sync,vod_apply_db_schema.live_read.db_read_count,on demand,24h,0,Content Ops,ENABLE_VOD_APPLY_DB_SCHEMA_LIVE_READ_TEST,Disable VOD apply DB schema live-read test,true
vod_apply_db_schema_live_read_schema_valid,P0.5,vod_apply_db_schema_live_read,Provider Sync,vod_apply_db_schema.live_read.schema_valid,on demand,24h,false,Content Ops,ENABLE_VOD_APPLY_DB_SCHEMA_LIVE_READ_TEST,Disable VOD apply DB schema live-read test,true
vod_query_wrapper_prerequisites_check_completed,P0.5,vod_query_wrapper_prerequisites,Provider Sync,vod_query_wrapper.prerequisites.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_QUERY_WRAPPER_PREREQUISITES_CHECK,Disable VOD query-wrapper prerequisites check,true
vod_query_wrapper_prerequisites_check_disposition,P0.5,vod_query_wrapper_prerequisites,Provider Sync,vod_query_wrapper.prerequisites.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_QUERY_WRAPPER_PREREQUISITES_CHECK,Disable VOD query-wrapper prerequisites check,true
vod_query_wrapper_prerequisites_query_wrapper_found,P0.5,vod_query_wrapper_prerequisites,Provider Sync,vod_query_wrapper.prerequisites.query_wrapper_found,on demand,24h,false,Content Ops,ENABLE_VOD_QUERY_WRAPPER_PREREQUISITES_CHECK,Disable VOD query-wrapper prerequisites check,true
vod_query_wrapper_prerequisites_dog_opens_found,P0.5,vod_query_wrapper_prerequisites,Provider Sync,vod_query_wrapper.prerequisites.dog_opens_found,on demand,24h,false,Content Ops,ENABLE_VOD_QUERY_WRAPPER_PREREQUISITES_CHECK,Disable VOD query-wrapper prerequisites check,true
vod_schema_validation_query_wrapper_gate_planned_completed,P0.5,vod_schema_validation_query_wrapper_gate,Provider Sync,vod_schema_validation.query_wrapper_gate.planned,on demand,24h,status=fail,Content Ops,ENABLE_VOD_SCHEMA_VALIDATION_QUERY_WRAPPER_GATE_PLANNER,Disable VOD schema validation query-wrapper gate planner,true
vod_schema_validation_query_wrapper_gate_disposition,P0.5,vod_schema_validation_query_wrapper_gate,Provider Sync,vod_schema_validation.query_wrapper_gate.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_SCHEMA_VALIDATION_QUERY_WRAPPER_GATE_PLANNER,Disable VOD schema validation query-wrapper gate planner,true
vod_schema_validation_query_wrapper_gate_canonical_route,P0.5,vod_schema_validation_query_wrapper_gate,Provider Sync,vod_schema_validation.query_wrapper_gate.canonical_route,on demand,24h,manual_review,Content Ops,ENABLE_VOD_SCHEMA_VALIDATION_QUERY_WRAPPER_GATE_PLANNER,Disable VOD schema validation query-wrapper gate planner,true
vod_schema_validation_query_wrapper_gate_db_write_allowed,P0.5,vod_schema_validation_query_wrapper_gate,Provider Sync,vod_schema_validation.query_wrapper_gate.db_write_allowed,on demand,24h,false,Content Ops,ENABLE_VOD_SCHEMA_VALIDATION_QUERY_WRAPPER_GATE_PLANNER,Disable VOD schema validation query-wrapper gate planner,true
query_wrapper_invocation_shape_inspected_completed,P0.5,query_wrapper_invocation_shape,Provider Sync,query_wrapper.invocation_shape.completed,on demand,24h,status=fail,Content Ops,ENABLE_QUERY_WRAPPER_INVOCATION_SHAPE_INSPECTOR,Disable query wrapper invocation shape inspector,true
query_wrapper_invocation_shape_inspected_disposition,P0.5,query_wrapper_invocation_shape,Provider Sync,query_wrapper.invocation_shape.disposition,on demand,24h,fail,Content Ops,ENABLE_QUERY_WRAPPER_INVOCATION_SHAPE_INSPECTOR,Disable query wrapper invocation shape inspector,true
query_wrapper_invocation_shape_query_ps1_count,P0.5,query_wrapper_invocation_shape,Provider Sync,query_wrapper.invocation_shape.query_ps1_count,on demand,24h,0,Content Ops,ENABLE_QUERY_WRAPPER_INVOCATION_SHAPE_INSPECTOR,Disable query wrapper invocation shape inspector,true
query_wrapper_invocation_shape_pattern_count,P0.5,query_wrapper_invocation_shape,Provider Sync,query_wrapper.invocation_shape.pattern_count,on demand,24h,0,Content Ops,ENABLE_QUERY_WRAPPER_INVOCATION_SHAPE_INSPECTOR,Disable query wrapper invocation shape inspector,true
query_wrapper_canonical_source_resolved_completed,P0.5,query_wrapper_canonical_source,Provider Sync,query_wrapper.canonical_source.resolved,on demand,24h,status=fail,Content Ops,ENABLE_QUERY_WRAPPER_CANONICAL_SOURCE_RESOLVER,Disable query wrapper canonical source resolver,true
query_wrapper_canonical_source_resolved_disposition,P0.5,query_wrapper_canonical_source,Provider Sync,query_wrapper.canonical_source.disposition,on demand,24h,fail,Content Ops,ENABLE_QUERY_WRAPPER_CANONICAL_SOURCE_RESOLVER,Disable query wrapper canonical source resolver,true
query_wrapper_canonical_source_query_ps1_found,P0.5,query_wrapper_canonical_source,Provider Sync,query_wrapper.canonical_source.query_ps1_found,on demand,24h,false,Content Ops,ENABLE_QUERY_WRAPPER_CANONICAL_SOURCE_RESOLVER,Disable query wrapper canonical source resolver,true
query_wrapper_canonical_source_selected_hint,P0.5,query_wrapper_canonical_source,Provider Sync,query_wrapper.canonical_source.selected_hint,on demand,24h,manual_review,Content Ops,ENABLE_QUERY_WRAPPER_CANONICAL_SOURCE_RESOLVER,Disable query wrapper canonical source resolver,true
provider_snapshot_data_reality_audit_completed,P0.5,provider_snapshot_data_reality,Provider Sync,provider_snapshot.data_reality.completed,on demand,24h,status=fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DATA_REALITY_AUDIT,Disable provider snapshot data reality audit,true
provider_snapshot_data_reality_audit_disposition,P0.5,provider_snapshot_data_reality,Provider Sync,provider_snapshot.data_reality.disposition,on demand,24h,fail,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DATA_REALITY_AUDIT,Disable provider snapshot data reality audit,true
provider_snapshot_data_reality_snapshot_count,P0.5,provider_snapshot_data_reality,Provider Sync,provider_snapshot.data_reality.snapshot_count,on demand,24h,0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DATA_REALITY_AUDIT,Disable provider snapshot data reality audit,true
provider_snapshot_data_reality_planned_import_count,P0.5,provider_snapshot_data_reality,Provider Sync,provider_snapshot.data_reality.planned_import_count,on demand,24h,0,Content Ops,ENABLE_PROVIDER_SNAPSHOT_DATA_REALITY_AUDIT,Disable provider snapshot data reality audit,true
vod_delta_preview_disposition_audit_completed,P0.5,vod_delta_preview_dispositions,Provider Sync,vod_delta_preview.disposition_audit.completed,on demand,24h,status=fail,Content Ops,ENABLE_VOD_DELTA_PREVIEW_DISPOSITION_AUDIT,Disable VOD delta preview disposition audit,true
vod_delta_preview_disposition_audit_disposition,P0.5,vod_delta_preview_dispositions,Provider Sync,vod_delta_preview.disposition_audit.disposition,on demand,24h,fail,Content Ops,ENABLE_VOD_DELTA_PREVIEW_DISPOSITION_AUDIT,Disable VOD delta preview disposition audit,true
vod_delta_preview_disposition_audit_planned_import_count,P0.5,vod_delta_preview_dispositions,Provider Sync,vod_delta_preview.disposition_audit.planned_import_count,on demand,24h,0,Content Ops,ENABLE_VOD_DELTA_PREVIEW_DISPOSITION_AUDIT,Disable VOD delta preview disposition audit,true
vod_delta_preview_disposition_audit_provider_noise_count,P0.5,vod_delta_preview_dispositions,Provider Sync,vod_delta_preview.disposition_audit.provider_noise_count,on demand,24h,0,Content Ops,ENABLE_VOD_DELTA_PREVIEW_DISPOSITION_AUDIT,Disable VOD delta preview disposition audit,true
